tem,gr,phirt,phirt2,phi2t,phi1t
9.850000000000023,0.01529448182657803,0.25087632311523067,0.3548763231152307,0.24366077995020013,0.055462896934569204
10.254040404040438,0.019963631155615263,0.25467001834867736,0.35867001834867734,0.23872897614671942,0.056601005504603216
10.658080808080854,0.02565497246648875,0.25916822388597727,0.3631682238859773,0.23288130894822956,0.05795046716579319
11.062121212121212,0.03244662698242425,0.26435040532986764,0.3683504053298677,0.22614447307117208,0.05950512159896029
11.466161616161628,0.04038339934422675,0.27015920505130264,0.3741592050513027,0.21859303343330663,0.0612477615153908
11.870202020202044,0.04947379741636907,0.2765046620979851,0.3805046620979851,0.21034393927261938,0.06315139862939552
12.274242424242459,0.059691681277495995,0.2832726993030248,0.3872726993030248,0.20154549090606777,0.06518180979090743
12.678282828282875,0.07098177792180313,0.29033593053740425,0.3943359305374043,0.19236329030137456,0.06730077916122128
13.082323232323233,0.08326755547623145,0.29756458077508696,0.401564580775087,0.182966044992387,0.06946937423252607
13.486363636363649,0.09645979784472904,0.30483575357372766,0.40883575357372764,0.17351352035415404,0.0716507260721183
13.890404040404064,0.11046453753525078,0.31204007815957496,0.41604007815957494,0.1641478983925525,0.07381202344787251
14.29444444444448,0.1251895315634606,0.319085548913459,0.423085548913459,0.15498878641250327,0.07592566467403772
14.698484848484895,0.1405489733401876,0.32589891229775764,0.4298989122977576,0.14613141401291507,0.07796967368932729
15.102525252525254,0.15646650085564992,0.3324252141843086,0.43642521418430863,0.1376472215603988,0.07992756425529257
15.50656565656567,0.17287676591510912,0.33862615654282885,0.44262615654282883,0.12958599649432248,0.08178784696284866
15.910606060606085,0.18972590322216573,0.34447782051275955,0.4484778205127596,0.1219788333334125,0.08354334615382789
16.3146464646465,0.2069712295895447,0.34996817222074456,0.45396817222074454,0.11484137611303208,0.08519045166622337
16.718686868686916,0.22458045380938618,0.35509462802839087,0.4590946280283909,0.10817698356309188,0.08672838840851727
17.122727272727275,0.24253061471947102,0.35986184070377386,0.46386184070377384,0.10197960708509402,0.08815855221113214
17.52676767676769,0.26080690445951393,0.36427978362230495,0.468279783622305,0.09623628129100359,0.08948393508669149
17.930808080808106,0.2794014828591223,0.3683621539166907,0.47236215391669073,0.09092919990830213,0.09070864617500721
18.33484848484852,0.29831234921365835,0.3721250815354452,0.47612508153544525,0.08603739400392123,0.09183752446063356
18.738888888888937,0.31754230865450966,0.37558611310746987,0.47958611310746985,0.08153805296028913,0.09287583393224097
19.142929292929296,0.3370980501156124,0.37876343197121376,0.4827634319712138,0.07740753843742214,0.09382902959136412
19.54696969696971,0.3569893395421283,0.3816752746479201,0.4856752746479201,0.07362214295770388,0.09470258239437604
19.951010101010127,0.37722832366949227,0.38433950657774335,0.48833950657774333,0.07015864144893369,0.09550185197332303
20.355050505050542,0.39782893493527527,0.38677332422686556,0.49077332422686554,0.06699467850507472,0.09623199726805966
20.7590909090909,0.4188063857299699,0.3889930555584209,0.49299305555842093,0.06410902777405274,0.09689791666752628
21.163131313131316,0.4401767394001783,0.3910140356723326,0.49501403567233265,0.061481753625967604,0.09750421070169979
21.567171717171732,0.46195654559093113,0.3928505388125904,0.4968505388125904,0.05909429954363246,0.09805516164377713
21.971212121212147,0.48416252823565226,0.39451575176441556,0.4985157517644156,0.05692952270625984,0.09855472552932466
22.375252525252563,0.5068113154971482,0.39602177688627777,0.5000217768862778,0.05497169004783886,0.09900653306588335
22.77929292929298,0.5299192020483161,0.39737965567251915,0.5013796556725192,0.053206447625725045,0.09941389670175577
23.183333333333337,0.5535019351508479,0.3985994058845028,0.5025994058845029,0.051620772350146275,0.09977982176535086
23.587373737373753,0.5775745169745911,0.3996900669924802,0.5036900669924802,0.05020291290977571,0.10010702009774405
23.991414141414168,0.602151016467624,0.4006597500097172,0.5046597500097172,0.04894232498736769,0.10039792500291515
24.395454545454584,0.6272443848268363,0.4015156888419812,0.5055156888419812,0.04782960450542438,0.10065470665259436
24.799494949494942,0.6528662692228425,0.4022642910755912,0.5062642910755912,0.0468564216017315,0.10087928732267736
25.203535353535358,0.6790268199143008,0.40291118673699094,0.5069111867369909,0.04601545724191184,0.10107335602109728
25.607575757575773,0.7057344862495969,0.4034612740155471,0.5074612740155471,0.04530034377978887,0.10123838220466412
26.01161616161619,0.7329957973141974,0.40391876128310167,0.5079187612831018,0.04470561033196783,0.10137562838493051
26.415656565656604,0.7608151231483158,0.4042872049945266,0.5082872049945266,0.04422663350711544,0.10148616149835797
26.81969696969702,0.7891944125492923,0.4045695432353134,0.5085695432353134,0.043859593794092544,0.10157086297059403
27.22373737373738,0.8181329034947449,0.4047681248109301,0.5087681248109301,0.04360143774579088,0.10163043744327903
27.627777777777794,0.8476268021923196,0.4048847338621277,0.5088847338621276,0.04344984597923393,0.10166542015863832
28.03181818181821,0.8776689266912343,0.40492061005055996,0.5089206100505599,0.043403206934272,0.101676183015168
28.435858585858625,0.9082483108971439,0.4048764643984944,0.5088764643984944,0.04346059628195732,0.10166293931954831
28.839898989898984,0.9393497647284972,0.4047524908910022,0.5087524908910022,0.04362176184169719,0.10162574726730064
29.2439393939394,0.9709533860620829,0.4045483739643757,0.5085483739643757,0.043887113846311505,0.10156451218931273
29.647979797979815,1.0030340200598642,0.4042632920147262,0.5082632920147263,0.04425772038085597,0.10147898760441786
30.05202020202023,1.0355606614771686,0.4038959170691699,0.5078959170691699,0.04473530781007915,0.10136877512075097
30.456060606060646,1.0684957956586358,0.40344441077193854,0.5074444107719385,0.04532226599647999,0.10123332323158155
30.86010101010106,1.1017946741787892,0.402906416852215,0.506906416852215,0.04602165809212057,0.10107192505566448
31.26414141414142,1.1354045215272401,0.40227905026158234,0.5062790502615824,0.04683723465994293,0.1008837150784747
31.668181818181836,1.1692636699499646,0.4015588832008955,0.5055588832008955,0.047773451838835905,0.10066766496026865
32.07222222222225,1.2033006206061407,0.4007419283003487,0.5047419283003487,0.04883549320954669,0.10042257849010461
32.47626262626267,1.2374330306976575,0.399823619277898,0.503823619277898,0.05002929493873263,0.10014708578336942
32.880303030303025,1.2715666282795794,0.39879878948183584,0.5027987894818358,0.05136157367361343,0.09983963684455074
33.28434343434344,1.3055940592162507,0.3976616488289497,0.5016616488289498,0.05283985652236535,0.09949849464868492
33.68838383838386,1.339393674363632,0.39640575978386516,0.5004057597838651,0.054472512280975216,0.09912172793515955
34.09242424242427,1.3728282697259082,0.3950240131937258,0.49902401319372586,0.05626878284815653,0.09870720395811775
34.49646464646469,1.4057437982530163,0.3935086050000127,0.49750860500001276,0.05823881349998342,0.09825258150000381
34.9005050505051,1.437968079347597,0.39185101510285336,0.4958510151028534,0.060393680366290746,0.09775530453085599
35.30454545454546,1.4693095412519206,0.3900419899570741,0.4940419899570741,0.06274541305580364,0.09721259698712223
35.70858585858588,1.4995560425081673,0.3880715308392549,0.49207153083925487,0.06530700990896866,0.09662145925177648
36.11262626262629,1.5284738318054913,0.385928890145017,0.489928890145017,0.06809244281147792,0.09597866704350509
36.51666666666671,1.5558067208401654,0.38360257855693924,0.4876025785569393,0.071116647875979,0.09528077356708178
36.92070707070707,1.5812755622897998,0.3810803864642279,0.48508038646422796,0.07439549759650382,0.09452411593926835
37.32474747474748,1.6045781444047171,0.3783494236084289,0.48234942360842886,0.07794574930904248,0.09370482708252867
37.7287878787879,1.6253896345042713,0.37539618155926807,0.47939618155926805,0.08178496397295149,0.09281885446778042
38.132828282828314,1.6433637249085156,0.37220662426779016,0.4762066242677902,0.08593138845187277,0.09186198728033707
38.53686868686873,1.658134655014922,0.3687663125585372,0.47276631255853724,0.09040379367390163,0.09082989376756119
38.940909090909145,1.6693203002121735,0.3650605689560999,0.4690605689560999,0.09522126035707008,0.08971817068682998
39.3449494949495,1.6765265290656304,0.3610746896124742,0.46507468961247417,0.10040290350378353,0.08852240688374226
39.74898989898992,1.6793530308581106,0.3567942102139366,0.4607942102139366,0.10596752672188246,0.08723826306418098
40.153030303030334,1.6774008012387072,0.3522052324681689,0.45620523246816896,0.11193319779138042,0.08586156974045069
40.55707070707075,1.6702814388102618,0.3472948169541284,0.4512948169541284,0.1183167379596332,0.08438844508623851
40.96111111111111,1.6576283438869257,0.34205144658617515,0.4460514465861752,0.12513311943797226,0.08281543397585256
41.365151515151524,1.6391098164308595,0.3364655625132462,0.44046556251324626,0.1323947687327799,0.08113966875397388
41.76919191919194,1.614443918693955,0.33053017077203156,0.43453017077203154,0.140110777996359,0.07935905123160947
42.173232323232355,1.5834147972704224,0.3242415132966968,0.42824151329669685,0.14828603271429416,0.07747245398900902
42.57727272727277,1.5458899515270037,0.31759979088876544,0.4215997908887655,0.1569202718446049,0.07547993726662963
42.98131313131313,1.5018376996133858,0.3106099185201192,0.41460991852011925,0.16600710592384504,0.07338297555603578
43.385353535353545,1.4513438466571833,0.303282285095884,0.407282285095884,0.17553302937535073,0.07118468552876521
43.78939393939396,1.3946263290138101,0.2956334809733834,0.3996334809733834,0.18547647473460155,0.06889004429201502
44.193434343434376,1.3320464295559182,0.2876869477964323,0.39168694779643226,0.19580696786463803,0.06650608433892968
44.59747474747479,1.264115074680264,0.2794734974787445,0.38347349747874454,0.20648445327763215,0.06404204924362336
45.00151515151515,1.1914927783973912,0.27103164158068593,0.37503164158068597,0.21745886594510835,0.061509492474205785
45.405555555555566,1.114982030336236,0.26240767008707944,0.3664076700870795,0.22867002888679666,0.05892230102612384
45.80959595959598,1.0355113538110892,0.2536554208807146,0.3576554208807146,0.24004795285507108,0.05629662626421438
46.2136363636364,0.9541108809205122,0.24483568894668736,0.3488356889466874,0.2515136043693065,0.053650706684006205
46.61767676767681,0.8718800622462631,0.2360152380555829,0.3400152380555829,0.26298019052774235,0.05100457141667485
47.02171717171717,0.7899489698937985,0.2272653973642022,0.3312653973642022,0.2743549834265371,0.04837961920926067
47.425757575757586,0.7094354542358557,0.218660250549554,0.322660250549554,0.28554167428557975,0.04579807516486621
47.829797979798,0.6314010518529148,0.21027445491732616,0.31427445491732614,0.296443208607476,0.04328233647519784
48.23383838383842,0.5568088990002898,0.20218076145018204,0.3061807614501821,0.30696501011476335,0.04085422843505462
48.63787878787883,0.48648690065139344,0.19444734300173047,0.2984473430017305,0.31701845409775037,0.03853420290051914
49.04191919191919,0.4210990150907537,0.18713507548185576,0.29113507548185574,0.32652440187358756,0.03634052264455673
49.44595959595961,0.3611267783114223,0.18029495329945128,0.28429495329945126,0.3354165607107134,0.03428848598983538
49.85000000000002,0.3068622087571922,0.17396585010293045,0.27796585010293046,0.3436443948661905,0.03238975503087914
